cluster,fs,bytes,n_tasks,n_nodes,n_files,write_mean_rate,write_sd_rate,write_mean_time,write_sd_time,stat_mean_rate,stat_sd_rate,stat_mean_time,stat_sd_time,read_mean_rate,read_sd_rate,read_mean_time,read_sd_time,removal_mean_rate,removal_sd_rate,removal_mean_time,removal_sd_time
claix18,beeond,1,1,1,1000,2919.653,176.959,0.344,0.021,18482.036,1497.336,0.054,0.004,3582.917,532.728,0.284,0.037,7968.644,321.373,0.126,0.005
claix18,beeond,2,1,1,1000,3033.932,170.570,0.330,0.018,23689.959,2282.281,0.042,0.004,3789.215,445.802,0.267,0.029,8305.399,333.339,0.121,0.005
claix18,beeond,4,1,1,1000,2910.338,166.689,0.344,0.019,21182.419,2795.061,0.048,0.007,3454.975,200.115,0.290,0.017,8217.814,183.955,0.122,0.003
claix18,beeond,8,1,1,1000,2981.309,171.699,0.336,0.019,23473.840,1394.409,0.043,0.003,3826.212,398.255,0.264,0.027,8749.001,167.006,0.114,0.002
claix18,beeond,16,1,1,1000,2895.392,155.457,0.346,0.018,20958.366,891.875,0.048,0.002,3738.937,445.403,0.271,0.033,8322.021,217.581,0.120,0.003
claix18,beeond,32,1,1,1000,2726.418,169.154,0.368,0.022,16683.359,2050.447,0.061,0.008,3438.331,373.736,0.294,0.032,8112.710,247.591,0.123,0.004
claix18,beeond,64,1,1,1000,2638.100,219.624,0.382,0.035,13242.756,1436.480,0.076,0.008,3064.662,300.139,0.329,0.035,7582.921,868.917,0.134,0.020
claix18,beeond,128,1,1,1000,2458.582,329.404,0.414,0.061,12936.474,1703.362,0.079,0.011,2759.708,287.442,0.366,0.039,7460.136,410.282,0.134,0.007
claix18,beeond,256,1,1,1000,2834.530,192.202,0.354,0.024,16900.218,2168.656,0.060,0.007,3091.291,336.908,0.327,0.032,7928.435,214.662,0.126,0.003
claix18,beeond,512,1,1,1000,2648.017,160.451,0.379,0.025,15300.879,867.076,0.066,0.004,2682.011,259.226,0.376,0.036,8205.045,127.449,0.122,0.002
claix18,beeond,1024,1,1,1000,2643.332,205.573,0.380,0.031,14144.170,1698.222,0.071,0.008,2725.068,269.986,0.370,0.036,8140.413,188.222,0.123,0.003
claix18,beeond,2048,1,1,1000,2751.390,164.066,0.364,0.022,16314.378,1634.429,0.062,0.005,2983.062,299.567,0.339,0.036,7915.587,184.608,0.127,0.003
claix18,beeond,4096,1,1,1000,2768.526,168.262,0.362,0.022,18196.136,3251.302,0.057,0.010,3049.361,436.095,0.333,0.042,8143.195,178.916,0.123,0.003
claix18,beeond,8912,1,1,1000,2850.687,120.821,0.351,0.014,18079.256,1710.549,0.056,0.005,3209.269,219.799,0.313,0.021,8165.956,193.900,0.122,0.003
claix18,beeond,16384,1,1,1000,2666.391,117.476,0.376,0.017,18950.243,1070.615,0.053,0.003,3154.095,176.432,0.318,0.017,8104.278,297.893,0.124,0.005
claix18,beeond,32768,1,1,1000,2548.649,159.797,0.394,0.024,18803.255,1491.900,0.054,0.004,2934.119,251.474,0.343,0.030,8112.159,209.797,0.123,0.003
claix18,beeond,65536,1,1,1000,2409.934,133.743,0.416,0.024,18253.680,2367.645,0.056,0.007,2643.223,178.597,0.380,0.026,7891.883,305.231,0.127,0.005
claix18,beeond,131072,1,1,1000,2291.556,121.283,0.438,0.025,15898.184,1364.133,0.063,0.006,2399.079,112.730,0.418,0.019,7889.382,141.007,0.127,0.003
claix18,beeond,262144,1,1,1000,1942.142,50.389,0.515,0.013,20939.303,1103.566,0.048,0.003,1904.738,90.580,0.526,0.026,7769.569,194.780,0.129,0.003
claix18,beeond,524288,1,1,1000,1507.452,46.898,0.664,0.020,19817.708,1282.348,0.051,0.003,1354.496,53.098,0.739,0.029,7609.798,162.823,0.132,0.003
